,date,cases
0,3/6/20,1
1,3/7/20,0
2,3/8/20,0
3,3/9/20,0
4,3/10/20,2
5,3/11/20,6
6,3/12/20,0
7,3/13/20,4
8,3/14/20,9
9,3/15/20,12
10,3/16/20,23
11,3/17/20,18
12,3/18/20,27
13,3/19/20,6
14,3/20/20,50
15,3/21/20,38
16,3/22/20,35
17,3/23/20,46
18,3/24/20,101
19,3/25/20,92
20,3/26/20,21
21,3/27/20,48
22,3/28/20,69
23,3/29/20,94
24,3/30/20,96
25,3/31/20,108
26,4/1/20,159
27,4/2/20,96
28,4/3/20,106
29,4/4/20,139
30,4/5/20,79
31,4/6/20,94
32,4/7/20,201
33,4/8/20,274
34,4/9/20,169
35,4/10/20,250
36,4/11/20,236
37,4/12/20,67
38,4/13/20,76
39,4/14/20,127
40,4/15/20,126
41,4/16/20,128
42,4/17/20,206
43,4/18/20,182
44,4/19/20,171
45,4/20/20,185
46,4/21/20,172
47,4/22/20,207
48,4/23/20,205
49,4/24/20,320
50,4/25/20,261
51,4/26/20,237
52,4/27/20,218
53,4/28/20,352
54,4/29/20,258
55,4/30/20,300
56,5/1/20,499
57,5/2/20,279
58,5/3/20,383
59,5/4/20,305
60,5/5/20,640
61,5/6/20,346
62,5/7/20,497
63,5/8/20,595
64,5/9/20,444
65,5/10/20,568
66,5/11/20,550
67,5/12/20,659
68,5/13/20,658
69,5/14/20,680
70,5/15/20,606
71,5/16/20,723
72,5/17/20,635
73,5/18/20,721
74,5/19/20,640
75,5/20/20,752
76,5/21/20,643
77,5/22/20,801
78,5/23/20,1046
79,5/24/20,998
80,5/25/20,806
81,5/26/20,1022
82,5/27/20,1101
83,5/28/20,1262
84,5/29/20,1322
85,5/30/20,1548
86,5/31/20,1147
87,6/1/20,1110
88,6/2/20,1340
89,6/3/20,1521
90,6/4/20,1766
91,6/5/20,1515
92,6/6/20,1392
93,6/7/20,1209
94,6/8/20,1483
95,6/9/20,1359
96,6/10/20,1604
97,6/11/20,1530
98,6/12/20,1646
99,6/13/20,1888
100,6/14/20,2193
101,6/15/20,2124
102,6/16/20,1868
103,6/17/20,2115
104,6/18/20,3171
105,6/19/20,3059
106,6/20/20,2357
107,6/21/20,3019
108,6/22/20,2531
109,6/23/20,2389
110,6/24/20,3541
111,6/25/20,3486
112,6/26/20,3843
113,6/27/20,4149
114,6/28/20,3178
115,6/29/20,3274
116,6/30/20,2803
117,7/1/20,4163
118,7/2/20,4101
119,7/3/20,3395
120,7/4/20,3884
121,7/5/20,3721
122,7/6/20,3171
123,7/7/20,4213
124,7/8/20,4144
125,7/9/20,5335
126,7/10/20,6803
127,7/11/20,4856
128,7/12/20,4813
129,7/13/20,3832
130,7/14/20,5621
131,7/15/20,5271
132,7/16/20,8037
133,7/17/20,8934
134,7/18/20,8560
135,7/19/20,6578
136,7/20/20,6727
137,7/21/20,7033
138,7/22/20,7390
139,7/23/20,7945
140,7/24/20,7168
141,7/25/20,7254
142,7/26/20,8181
143,7/27/20,8125
144,7/28/20,10284
145,7/29/20,8670
146,7/30/20,9965
147,7/31/20,9488
148,8/1/20,10673
149,8/2/20,11470
150,8/3/20,10199
151,8/4/20,7129
152,8/5/20,10735
153,8/6/20,11996
154,8/7/20,9494
155,8/8/20,9666
156,8/9/20,10611
157,8/10/20,10142
158,8/11/20,12830
159,8/12/20,12066
160,8/13/20,11286
161,8/14/20,11306
162,8/15/20,11578
163,8/16/20,11643
164,8/17/20,8328
165,8/18/20,12462
166,8/19/20,13056
167,8/20/20,11541
168,8/21/20,8419
169,8/22/20,10965
170,8/23/20,8036
171,8/24/20,10549
172,8/25/20,10425
173,8/26/20,10130
174,8/27/20,9752
175,8/28/20,8497
176,8/29/20,9392
177,8/30/20,8020
178,8/31/20,7190
179,9/1/20,8932
180,9/2/20,9295
181,9/3/20,8253
182,9/4/20,8489
183,9/5/20,8393
184,9/6/20,8065
185,9/7/20,5327
186,9/8/20,7665
187,9/9/20,7338
188,9/10/20,7813
189,9/11/20,7424
190,9/12/20,6876
191,9/13/20,7355
192,9/14/20,5573
193,9/15/20,6698
194,9/16/20,7787
195,9/17/20,7568
196,9/18/20,6526
197,9/19/20,7927
198,9/20/20,6678
199,9/21/20,5359
200,9/22/20,7102
201,9/23/20,6731
202,9/24/20,6555
203,9/25/20,7494
204,9/26/20,7721
205,9/27/20,7018
206,9/28/20,5147
207,9/29/20,5839
208,9/30/20,5637
209,10/1/20,5660
210,10/2/20,6193
211,10/3/20,6615
212,10/4/20,6905
213,10/5/20,7106
214,10/6/20,7650
215,10/7/20,7876
216,10/8/20,8495
217,10/9/20,8121
218,10/10/20,8447
219,10/11/20,8569
220,10/12/20,7768
221,10/13/20,5014
222,10/14/20,6061
223,10/15/20,6823
224,10/16/20,8372
225,10/17/20,7017
226,10/18/20,7201
227,10/19/20,6311
228,10/20/20,8256
229,10/21/20,7561
230,10/22/20,8673
231,10/23/20,8569
232,10/24/20,8769
233,10/25/20,8174
234,10/26/20,9167
235,10/27/20,8166
236,10/28/20,8717
237,10/29/20,11187
238,10/30/20,10029
239,10/31/20,11033
240,11/1/20,9137
241,11/2/20,9935
242,11/3/20,6136
