date,deaths
2020-05-22,1
2020-05-24,2
2020-05-29,3
2020-06-03,4
2020-06-18,5
2020-06-22,6
2020-06-23,7
2020-07-01,8
2020-07-04,10
2020-07-06,11
2020-07-07,12
2020-07-08,13
2020-07-09,14
2020-07-13,15
2020-07-15,16
2020-07-16,17
2020-07-18,18
2020-07-20,19
2020-07-21,21
2020-07-22,22
2020-07-24,23
2020-07-27,25
2020-07-28,28
2020-07-29,29
2020-08-03,30
2020-08-04,31
2020-08-05,32
2020-08-11,33
2020-08-13,35
2020-08-16,36
2020-08-18,37
2020-08-19,38
2020-08-21,39
2020-08-23,40
2020-08-24,44
2020-08-28,45
2020-08-31,46
2020-09-02,47
2020-09-05,48
2020-09-06,49
2020-09-09,51
2020-09-12,52
2020-09-19,53
2020-09-21,54
2020-09-23,55
2020-09-24,56
2020-10-03,57
2020-10-05,58
2020-10-08,59
2020-10-15,61
2020-10-26,62
2020-10-28,63
2020-11-01,64
2020-11-10,66
2020-11-20,67
2020-12-01,68
2020-12-07,69
2020-12-10,70
2020-12-12,71
2020-12-17,73
