,date,deaths
0,3/22/20,2
1,3/23/20,1
2,3/24/20,0
3,3/25/20,1
4,3/26/20,2
5,3/27/20,0
6,3/28/20,0
7,3/29/20,4
8,3/30/20,2
9,3/31/20,4
10,4/1/20,1
11,4/2/20,2
12,4/3/20,6
13,4/4/20,7
14,4/5/20,3
15,4/6/20,11
16,4/7/20,4
17,4/8/20,4
18,4/9/20,15
19,4/10/20,11
20,4/11/20,20
21,4/12/20,9
22,4/13/20,3
23,4/14/20,15
24,4/15/20,4
25,4/16/20,13
26,4/17/20,9
27,4/18/20,13
28,4/19/20,13
29,4/20/20,10
30,4/21/20,7
31,4/22/20,10
32,4/23/20,9
33,4/24/20,10
34,4/25/20,8
35,4/26/20,11
36,4/27/20,9
37,4/28/20,16
38,4/29/20,9
39,4/30/20,15
40,5/1/20,21
41,5/2/20,10
42,5/3/20,16
43,5/4/20,18
44,5/5/20,20
45,5/6/20,19
46,5/7/20,10
47,5/8/20,21
48,5/9/20,17
49,5/10/20,18
50,5/11/20,16
51,5/12/20,14
52,5/13/20,16
53,5/14/20,16
54,5/15/20,21
55,5/16/20,16
56,5/17/20,12
57,5/18/20,18
58,5/19/20,21
59,5/20/20,17
60,5/21/20,22
61,5/22/20,30
62,5/23/20,23
63,5/24/20,22
64,5/25/20,23
65,5/26/20,26
66,5/27/20,27
67,5/28/20,19
68,5/29/20,31
69,5/30/20,37
70,5/31/20,49
71,6/1/20,30
72,6/2/20,40
73,6/3/20,36
74,6/4/20,42
75,6/5/20,58
76,6/6/20,60
77,6/7/20,54
78,6/8/20,49
79,6/9/20,64
80,6/10/20,61
81,6/11/20,55
82,6/12/20,57
83,6/13/20,47
84,6/14/20,75
85,6/15/20,59
86,6/16/20,75
87,6/17/20,63
88,6/18/20,86
89,6/19/20,95
90,6/20/20,81
91,6/21/20,111
92,6/22/20,73
93,6/23/20,94
94,6/24/20,87
95,6/25/20,163
96,6/26/20,157
97,6/27/20,128
98,6/28/20,239
99,6/29/20,96
100,6/30/20,60
101,7/1/20,136
102,7/2/20,171
103,7/3/20,136
104,7/4/20,165
105,7/5/20,122
106,7/6/20,146
107,7/7/20,149
108,7/8/20,168
109,7/9/20,187
110,7/10/20,211
111,7/11/20,194
112,7/12/20,188
113,7/13/20,148
114,7/14/20,170
115,7/15/20,189
116,7/16/20,215
117,7/17/20,259
118,7/18/20,228
119,7/19/20,220
120,7/20/20,193
121,7/21/20,237
122,7/22/20,207
123,7/23/20,315
124,7/24/20,287
125,7/25/20,294
126,7/26/20,256
127,7/27/20,252
128,7/28/20,297
129,7/29/20,380
130,7/30/20,356
131,7/31/20,295
132,8/1/20,225
133,8/2/20,320
134,8/3/20,367
135,8/4/20,298
136,8/5/20,309
137,8/6/20,315
138,8/7/20,311
139,8/8/20,290
140,8/9/20,302
141,8/10/20,312
142,8/11/20,321
143,8/12/20,362
144,8/13/20,308
145,8/14/20,347
146,8/15/20,318
147,8/16/20,287
148,8/17/20,275
149,8/18/20,247
150,8/19/20,360
151,8/20/20,204
152,8/21/20,385
153,8/22/20,400
154,8/23/20,348
155,8/24/20,296
156,8/25/20,277
157,8/26/20,295
158,8/27/20,283
159,8/28/20,299
160,8/29/20,297
161,8/30/20,300
162,8/31/20,299
163,9/1/20,388
164,9/2/20,295
165,9/3/20,273
166,9/4/20,270
167,9/5/20,268
168,9/6/20,256
169,9/7/20,203
170,9/8/20,202
171,9/9/20,236
172,9/10/20,222
173,9/11/20,243
174,9/12/20,216
175,9/13/20,190
176,9/14/20,199
177,9/15/20,165
178,9/16/20,190
179,9/17/20,187
180,9/18/20,0
181,9/19/20,374
182,9/20/20,169
183,9/21/20,189
184,9/22/20,0
185,9/23/20,349
186,9/24/20,0
187,9/25/20,357
188,9/26/20,193
189,9/27/20,192
190,9/28/20,153
191,9/29/20,187
192,9/30/20,170
193,10/1/20,198
194,10/2/20,201
195,10/3/20,159
196,10/4/20,156
197,10/5/20,132
198,10/6/20,173
199,10/7/20,163
200,10/8/20,0
201,10/9/20,315
202,10/10/20,165
203,10/11/20,174
204,10/12/20,151
205,10/13/20,156
206,10/14/20,165
207,10/15/20,151
208,10/16/20,159
209,10/17/20,187
210,10/18/20,167
211,10/19/20,132
212,10/20/20,170
213,10/21/20,192
214,10/22/20,173
215,10/23/20,165
216,10/24/20,198
217,10/25/20,154
218,10/26/20,194
219,10/27/20,217
220,10/28/20,188
221,10/29/20,173
222,10/30/20,209
223,10/31/20,179
224,11/1/20,201
225,11/2/20,138
226,11/3/20,194
227,11/4/20,166
228,11/5/20,196
